nombreEmpresa;fechaInicioEmpresa;fechaFinEmpresa;nombreEmpleado;nombreCliente;nombreServicio;tarifaBaseServicio;tipoServicio;estadoOrden;codSeguimientoOrden;fechaInicioOrden;fechaFinOrden
TALLER MECANICO LOS NEGROS;12/12/2023;11/12/2024;Keith Jacobsen;Aaliyah Thomson;SERVICIO DE INYECCION ELECTRONICA;200;TALLER;FINALIZADO;CODSEG0001;08/03/2024;18/03/2024
TALLER MECANICO LOS NEGROS;12/12/2023;11/12/2024;Levi Moseley;Aaliyah Thomson;INSPECCION DE SISTEMA DE ENFRIAMIENTO;150;TALLER;FINALIZADO;CODSEG0002;06/04/2024;16/04/2024
TALLER MECANICO LOS NEGROS;12/12/2023;11/12/2024;Nora Bianchi;Aaliyah Thomson;INSPECCION DE SISTEMA DE ENFRIAMIENTO;150;TALLER;FINALIZADO;CODSEG0003;08/04/2024;18/04/2024
TALLER MECANICO LOS NEGROS;12/12/2023;11/12/2024;Patricia Newton;Aaliyah Thomson;INSPECCION DE SISTEMA DE ENFRIAMIENTO;150;TALLER;FINALIZADO;CODSEG0004;11/04/2024;21/04/2024
TALLER MECANICO LOS NEGROS;12/12/2023;11/12/2024;Annabelle Figueroa;Abbey Brooks;REPARACION DE SUSPENSION;250;TALLER;FINALIZADO;CODSEG0005;24/01/2024;03/02/2024
TALLER MECANICO LOS NEGROS;12/12/2023;11/12/2024;Caspian Persson;Abel Clifton;INSPECCION DE SISTEMA DE ENFRIAMIENTO;150;TALLER;FINALIZADO;CODSEG0006;20/04/2024;30/04/2024
TALLER MECANICO LOS NEGROS;12/12/2023;11/12/2024;Elsa Howell;Abel Clifton;CAMBIO DE ACEITE Y FILTROS;150;TALLER;FINALIZADO;CODSEG0007;09/05/2024;19/05/2024
TALLER MECANICO LOS NEGROS;12/12/2023;11/12/2024;Ashtyn Kent;Abel Linton;AJUSTE DE LUCES;70;TALLER;FINALIZADO;CODSEG0008;30/12/2023;09/01/2024
TALLER MECANICO LOS NEGROS;12/12/2023;11/12/2024;Evelyn Eriksson;Abel Orton;REEMPLAZO DE CORREAS;120;TALLER;FINALIZADO;CODSEG0009;03/03/2024;13/03/2024
TALLER MECANICO LOS NEGROS;12/12/2023;11/12/2024;Evelyn Eriksson;Abel Orton;ALINEACION Y BALANCEO;100;TALLER;FINALIZADO;CODSEG0010;12/06/2024;22/06/2024
TALLER MECANICO LOS NEGROS;12/12/2023;11/12/2024;Everett Skeffington;Abel Orton;REEMPLAZO DE CORREAS;120;TALLER;FINALIZADO;CODSEG0011;10/02/2024;20/02/2024
TALLER MECANICO LOS NEGROS;12/12/2023;11/12/2024;Everett Skeffington;Abel Orton;REPARACION DE SUSPENSION;250;TALLER;FINALIZADO;CODSEG0012;19/05/2024;29/05/2024
TALLER MECANICO LOS NEGROS;12/12/2023;11/12/2024;Gonzalo Collins;Abel Orton;AJUSTE DE FRENOS;120;TALLER;FINALIZADO;CODSEG0013;02/01/2024;12/01/2024
TALLER MECANICO LOS NEGROS;12/12/2023;11/12/2024;Gonzalo Collins;Abel Orton;MANTENIMIENTO DE TRANSMISION;300;TALLER;FINALIZADO;CODSEG0014;19/03/2024;29/03/2024
TALLER MECANICO LOS NEGROS;12/12/2023;11/12/2024;Gonzalo Collins;Abel Orton;SERVICIO DE INYECCION ELECTRONICA;200;TALLER;FINALIZADO;CODSEG0015;27/04/2024;07/05/2024
TALLER MECANICO LOS NEGROS;12/12/2023;11/12/2024;Gonzalo Collins;Abel Orton;CAMBIO DE BATERIA;90;TALLER;FINALIZADO;CODSEG0016;04/06/2024;14/06/2024
